Designator,Mid X,Mid Y,Rotation,Layer
C1,753.862699,-64.048119,0.0,top
C10,733.762699,-67.248119,180.0,top
C11,753.762699,-68.648119,0.0,top
C12,753.762699,-70.398119,0.0,top
C2,733.762699,-68.998119,180.0,top
C3,745.762699,-56.998119,90.0,top
C4,747.462699,-73.123119,-90.0,top
C43,730.412699,-61.198119,0.0,top
C44,821.316607,-15.612903,180.0,top
C45,826.140857,-25.762903,0.0,top
C46,730.412699,-67.248119,180.0,top
C5,763.762699,-54.798119,0.0,top
C6,745.662699,-73.123119,-90.0,top
C7,753.862699,-65.698119,0.0,top
C8,742.412699,-56.998119,90.0,top
C9,741.662699,-73.023119,-90.0,top
CAPS LED,839.290857,-36.910403,0.0,top
D1,849.523357,2.189597,0.0,top
D10,681.509607,7.125847,90.0,top
D11,662.459607,7.063347,90.0,top
D12,643.409607,7.063347,90.0,top
D13,623.565857,7.063347,90.0,top
D14,605.309607,6.269597,90.0,top
D15,577.028358,1.819597,180.0,top
D16,848.990857,-8.811653,-90.0,top
D17,816.447107,-6.430403,-90.0,top
D18,805.334607,-8.811653,-90.0,top
D19,787.328358,-8.811653,-90.0,top
D2,817.880857,8.777097,0.0,top
D20,768.028357,-8.811653,-90.0,top
D21,748.184607,-8.811653,-90.0,top
D22,729.134607,-8.811653,-90.0,top
D23,708.778358,-8.830403,-90.0,top
D24,691.034607,-8.811653,-90.0,top
D25,671.190857,-8.749153,-90.0,top
D26,653.728357,-8.811653,-90.0,top
D27,633.884607,-8.811653,-90.0,top
D28,614.834607,-9.605403,-90.0,top
D29,604.515857,-19.924153,-90.0,top
D3,813.660857,7.017097,90.0,top
D30,850.578357,-35.799153,90.0,top
D31,814.065857,-35.799153,90.0,top
D32,800.572107,-35.005403,90.0,top
D33,782.315857,-35.005403,90.0,top
D34,762.472107,-35.005403,90.0,top
D35,743.422107,-35.005403,90.0,top
D36,718.922857,-36.389153,90.0,top
D37,706.115857,-34.211653,90.0,top
D38,686.272107,-34.211653,90.0,top
D39,667.222107,-34.211653,90.0,top
D4,796.603357,6.269597,90.0,top
D40,648.172107,-35.005403,90.0,top
D41,629.122107,-35.005403,90.0,top
D42,593.403357,-36.592903,180.0,top
D43,850.578357,-50.086653,90.0,top
D44,825.178357,-54.849153,180.0,top
D45,809.303357,-45.324153,-90.0,top
D46,790.253357,-45.324153,-90.0,top
D47,771.203357,-45.324153,-90.0,top
D48,752.153357,-45.324153,-90.0,top
D49,733.897107,-45.324153,-90.0,top
D5,777.553357,7.063347,90.0,top
D50,714.847107,-45.324153,-90.0,top
D51,695.797107,-45.386653,-90.0,top
D52,675.953357,-45.324153,-90.0,top
D53,657.697107,-45.324153,-90.0,top
D54,638.647107,-45.324153,-90.0,top
D55,612.453357,-45.324153,-90.0,top
D56,585.465857,-46.911653,-90.0,top
D57,850.578357,-69.199153,90.0,top
D58,828.353357,-69.136653,90.0,top
D59,803.747107,-69.136653,90.0,top
D6,757.709607,7.000847,90.0,top
D60,701.345857,-68.560403,90.0,top
D61,668.122857,-69.726653,90.0,top
D62,638.647107,-65.961653,-90.0,top
D63,614.040857,-65.961653,-90.0,top
D64,590.228357,-65.961653,-90.0,top
D65,713.853358,-60.355403,0.0,top
D66,663.397108,-59.405403,0.0,top
D68,591.528358,-59.280403,0.0,top
D69,587.228358,-4.255403,180.0,top
D7,738.659607,7.063347,90.0,top
D71,665.778358,-4.574153,0.0,top
D72,713.653358,-4.130403,0.0,top
D73,782.128358,-4.130403,0.0,top
D74,824.453358,-3.355403,0.0,top
D75,827.178358,-59.280403,180.0,top
D76,782.528358,-59.555403,180.0,top
D8,720.403357,7.063347,90.0,top
D9,700.559607,7.063347,90.0,top
J3,803.303357,-2.461653,-90.0,top
R1,838.950857,4.217097,180.0,top
R2,826.415857,11.747097,0.0,top
R4,763.762699,-56.548119,0.0,top
R5,757.362699,-66.398119,180.0,top
R6,757.362699,-67.998119,180.0,top
R7,733.812699,-65.348119,180.0,top
R8,720.028358,-61.655403,0.0,top
RESET1,694.528358,-68.530403,90.0,top
U1,834.570857,-0.992903,90.0,top
U2,757.262699,-56.898119,-90.0,top
U3,743.423771,-65.041869,-90.0,top
U4,826.540857,-20.612903,0.0,top
USB_BOOT1,770.128358,-69.330403,180.0,top
Y1,730.418949,-64.248119,-90.0,top
